time,counts
20-Jan-2021 (22:36:25.575212),2147448126.3886
20-Jan-2021 (22:36:27.376164),2147448071.1722
20-Jan-2021 (22:36:27.387134),2147448101.0938
20-Jan-2021 (22:36:29.120059),2147448105.9766
20-Jan-2021 (22:36:30.926405),2147448090.6318
20-Jan-2021 (22:36:30.937531),2147448103.021
20-Jan-2021 (22:36:32.740442),2147448104.8648
20-Jan-2021 (22:36:32.750446),2147448082.8137
20-Jan-2021 (22:36:34.553426),2147448101.4215
20-Jan-2021 (22:36:34.564900),2147448066.1438
20-Jan-2021 (22:36:36.364423),2147448103.7267
20-Jan-2021 (22:36:38.103475),2147448081.9742
20-Jan-2021 (22:36:38.114572),2147448071.4119
20-Jan-2021 (22:36:39.915849),2147448109.5273
20-Jan-2021 (22:36:39.924825),2147448080.4283
20-Jan-2021 (22:36:41.728572),2147448108.2914
20-Jan-2021 (22:36:43.536148),2147448083.6975
20-Jan-2021 (22:36:43.547117),2147448093.752
20-Jan-2021 (22:36:45.347656),2147448111.2365
20-Jan-2021 (22:36:45.358787),2147448061.1973
20-Jan-2021 (22:36:47.091456),2147448109.6474
20-Jan-2021 (22:36:48.899871),2147448094.7322
20-Jan-2021 (22:36:48.909843),2147448087.3094
20-Jan-2021 (22:36:50.711463),2147448065.74
20-Jan-2021 (22:36:50.722694),2147448100.5676
20-Jan-2021 (22:36:52.524453),2147448087.478
20-Jan-2021 (22:36:52.534481),2147448116.9343
20-Jan-2021 (22:36:54.337551),2147448129.8281
20-Jan-2021 (22:36:56.076464),2147448113.1085
20-Jan-2021 (22:36:56.088516),2147448116.0432
20-Jan-2021 (22:36:57.888510),2147448108.9664
20-Jan-2021 (22:36:57.899619),2147448134.8904
20-Jan-2021 (22:36:59.701442),2147448107.435
20-Jan-2021 (22:37:01.508366),2147448079.2027
20-Jan-2021 (22:37:01.518368),2147448063.8304
20-Jan-2021 (22:37:03.320459),2147448076.0871
20-Jan-2021 (22:37:03.330712),2147448089.0376
20-Jan-2021 (22:37:05.133174),2147448105.4974
20-Jan-2021 (22:37:05.144144),2147448090.4545
20-Jan-2021 (22:37:06.876408),2147448077.7557
20-Jan-2021 (22:37:08.685356),2147448089.4751
20-Jan-2021 (22:37:08.696328),2147448101.518
20-Jan-2021 (22:37:10.498669),2147448029.0767
20-Jan-2021 (22:37:10.508672),2147448100.0799
20-Jan-2021 (22:37:12.310522),2147448103.7511
20-Jan-2021 (22:37:14.117396),2147448085.6121
20-Jan-2021 (22:37:14.127368),2147448063.8257
20-Jan-2021 (22:37:15.861440),2147448057.0665
20-Jan-2021 (22:37:15.871786),2147448072.4826
20-Jan-2021 (22:37:17.671668),2147448078.0873
20-Jan-2021 (22:37:17.682638),2147448102.0623
20-Jan-2021 (22:37:19.486379),2147448071.4447
20-Jan-2021 (22:37:21.294173),2147448056.7901
20-Jan-2021 (22:37:21.305328),2147448082.7631
20-Jan-2021 (22:37:23.106402),2147448129.4063
20-Jan-2021 (22:37:23.117373),2147448060.2407
20-Jan-2021 (22:37:24.850355),2147448082.1903
20-Jan-2021 (22:37:26.657536),2147448081.6574
20-Jan-2021 (22:37:26.668507),2147448074.0386
20-Jan-2021 (22:37:28.470243),2147448088.2115
20-Jan-2021 (22:37:28.481214),2147448095.5062
20-Jan-2021 (22:37:30.283499),2147448141.5782
20-Jan-2021 (22:37:32.089309),2147448097.486
20-Jan-2021 (22:37:32.099283),2147448106.0026
20-Jan-2021 (22:37:33.834309),2147448121.5323
20-Jan-2021 (22:37:33.844786),2147448124.6424
20-Jan-2021 (22:37:35.646908),2147448069.796
20-Jan-2021 (22:37:35.656881),2147448136.2172
20-Jan-2021 (22:37:37.459105),2147448112.0532
20-Jan-2021 (22:37:39.266898),2147448116.7248
20-Jan-2021 (22:37:39.276695),2147448083.8921
20-Jan-2021 (22:37:41.079658),2147448099.9378
20-Jan-2021 (22:37:41.089430),2147448089.8364
20-Jan-2021 (22:37:42.822479),2147448107.6474
20-Jan-2021 (22:37:44.629863),2147448100.9674
20-Jan-2021 (22:37:44.640803),2147448074.0301
20-Jan-2021 (22:37:46.442413),2147448118.5848
20-Jan-2021 (22:37:46.452386),2147448114.6035
20-Jan-2021 (22:37:48.255687),2147448123.9499
20-Jan-2021 (22:37:48.266670),2147448093.9146
20-Jan-2021 (22:37:50.068408),2147448071.5418
20-Jan-2021 (22:37:51.806324),2147448074.0726
20-Jan-2021 (22:37:51.817280),2147448098.9908
20-Jan-2021 (22:37:53.619315),2147448067.6973
20-Jan-2021 (22:37:53.629292),2147448078.8116
20-Jan-2021 (22:37:55.431290),2147448081.6431
20-Jan-2021 (22:37:57.238522),2147448111.3004
20-Jan-2021 (22:37:57.250492),2147448101.3827
20-Jan-2021 (22:37:59.051391),2147448081.377
20-Jan-2021 (22:37:59.061442),2147448098.9136
20-Jan-2021 (22:38:00.865524),2147448113.3805
20-Jan-2021 (22:38:02.602316),2147448132.1836
20-Jan-2021 (22:38:02.612656),2147448092.973
20-Jan-2021 (22:38:04.414919),2147448095.3565
20-Jan-2021 (22:38:04.425889),2147448094.9521
20-Jan-2021 (22:38:06.228416),2147448105.1082
20-Jan-2021 (22:38:06.239442),2147448105.7302
20-Jan-2021 (22:38:08.041360),2147448120.1582
20-Jan-2021 (22:38:09.848680),2147448078.1433
20-Jan-2021 (22:38:09.859801),2147448131.4311
20-Jan-2021 (22:38:11.592151),2147448116.7807
20-Jan-2021 (22:38:11.602319),2147448100.6555
20-Jan-2021 (22:38:13.404286),2147448076.8385
20-Jan-2021 (22:38:15.211502),2147448072.277
20-Jan-2021 (22:38:15.221979),2147448089.3612
20-Jan-2021 (22:38:17.024458),2147448075.8504
20-Jan-2021 (22:38:17.034438),2147448097.6134
20-Jan-2021 (22:38:18.838132),2147448063.6692
20-Jan-2021 (22:38:18.848219),2147448103.6507
20-Jan-2021 (22:38:20.580814),2147448086.9628
20-Jan-2021 (22:38:22.387546),2147448083.5363
20-Jan-2021 (22:38:22.396621),2147448045.4249
20-Jan-2021 (22:38:24.200485),2147448050.9178
20-Jan-2021 (22:38:24.211454),2147448075.5745
20-Jan-2021 (22:38:26.012147),2147448067.7956
20-Jan-2021 (22:38:27.821267),2147448080.5045
20-Jan-2021 (22:38:27.831272),2147448078.222
20-Jan-2021 (22:38:29.564335),2147448079.5339
20-Jan-2021 (22:38:29.575504),2147448046.5027
20-Jan-2021 (22:38:31.377401),2147448054.9419
20-Jan-2021 (22:38:33.184340),2147448077.5758
20-Jan-2021 (22:38:33.194286),2147448084.5419
20-Jan-2021 (22:38:34.996403),2147448082.3892
20-Jan-2021 (22:38:35.006514),2147448084.0663
20-Jan-2021 (22:38:36.809503),2147448068.0353
20-Jan-2021 (22:38:36.819479),2147448064.1884
20-Jan-2021 (22:38:38.552791),2147448091.9917
20-Jan-2021 (22:38:40.360481),2147448038.4188
20-Jan-2021 (22:38:40.370454),2147448068.012
20-Jan-2021 (22:38:42.172548),2147448074.9945
20-Jan-2021 (22:38:42.183487),2147448075.0692
20-Jan-2021 (22:38:43.986073),2147448129.7327
