time,counts
17-Jan-2021 (22:49:58.169175),2147452031
17-Jan-2021 (22:49:58.169370),2147450171
17-Jan-2021 (22:49:58.169565),2147451823
17-Jan-2021 (22:49:58.169760),2147450216
17-Jan-2021 (22:49:58.169955),2147449825
17-Jan-2021 (22:49:58.170150),2147448837
17-Jan-2021 (22:49:58.170345),2147449350
17-Jan-2021 (22:49:58.170540),2147449304
17-Jan-2021 (22:49:58.170735),2147448580
17-Jan-2021 (22:49:58.170930),2147446188
17-Jan-2021 (22:49:58.171126),2147449246
17-Jan-2021 (22:49:58.171321),2147449563
17-Jan-2021 (22:49:58.171516),2147449696
17-Jan-2021 (22:49:58.171712),2147449273
17-Jan-2021 (22:49:58.171906),2147450302
17-Jan-2021 (22:49:58.172103),2147447559
17-Jan-2021 (22:49:58.172297),2147451565
17-Jan-2021 (22:49:58.172492),2147453077
17-Jan-2021 (22:49:58.172687),2147449247
17-Jan-2021 (22:49:58.172882),2147451260
17-Jan-2021 (22:49:58.173077),2147449203
17-Jan-2021 (22:49:58.173273),2147448315
17-Jan-2021 (22:49:58.173467),2147452411
17-Jan-2021 (22:49:58.173662),2147448908
17-Jan-2021 (22:49:58.173857),2147449907
17-Jan-2021 (22:49:58.174052),2147449233
17-Jan-2021 (22:49:58.174248),2147451002
17-Jan-2021 (22:49:58.174443),2147448026
17-Jan-2021 (22:49:58.174639),2147448851
17-Jan-2021 (22:49:58.174834),2147449493
17-Jan-2021 (22:49:58.175030),2147451178
17-Jan-2021 (22:49:58.175225),2147449729
17-Jan-2021 (22:49:58.175420),2147450886
17-Jan-2021 (22:49:58.175616),2147451633
17-Jan-2021 (22:49:58.175811),2147449760
17-Jan-2021 (22:49:58.176005),2147450993
17-Jan-2021 (22:49:58.176200),2147451575
17-Jan-2021 (22:49:58.176395),2147449256
17-Jan-2021 (22:49:58.176591),2147451891
17-Jan-2021 (22:49:58.176786),2147447635
17-Jan-2021 (22:49:58.176982),2147450324
17-Jan-2021 (22:49:58.177178),2147451721
17-Jan-2021 (22:49:58.177373),2147452345
17-Jan-2021 (22:49:58.177568),2147451732
17-Jan-2021 (22:49:58.177764),2147451954
17-Jan-2021 (22:49:58.177978),2147454420
17-Jan-2021 (22:49:58.178175),2147449599
17-Jan-2021 (22:49:58.178370),2147452140
17-Jan-2021 (22:49:58.178566),2147451113
17-Jan-2021 (22:49:58.178761),2147450124
17-Jan-2021 (22:49:58.178958),2147451037
17-Jan-2021 (22:49:58.179153),2147450819
17-Jan-2021 (22:49:58.179349),2147447170
17-Jan-2021 (22:49:58.179544),2147448274
17-Jan-2021 (22:49:58.179739),2147448149
17-Jan-2021 (22:49:58.179933),2147449561
17-Jan-2021 (22:49:58.180129),2147447155
17-Jan-2021 (22:49:58.180324),2147452150
17-Jan-2021 (22:49:58.180520),2147449496
17-Jan-2021 (22:49:58.180716),2147451401
17-Jan-2021 (22:49:58.180941),2147449103
17-Jan-2021 (22:49:58.181138),2147450925
17-Jan-2021 (22:49:58.181335),2147450662
17-Jan-2021 (22:49:58.181531),2147449082
17-Jan-2021 (22:49:58.181727),2147449920
17-Jan-2021 (22:49:58.181922),2147452577
17-Jan-2021 (22:49:58.182118),2147453514
17-Jan-2021 (22:49:58.182312),2147449943
